"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_11_701.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_11_701.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_11_701.jpg","0","0","0","7.88E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_11_804.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_11_804.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_11_804.jpg","0","0","0","7.79E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_11_906.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_11_906.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_11_906.jpg","0","0","0","7.80E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_006.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_006.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_006.jpg","0","0","0","7.94E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_107.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_107.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_107.jpg","0","0","0","7.94E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_209.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_209.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_209.jpg","0","0","0","8.03E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_311.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_311.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_311.jpg","0","0","0","8.14E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_413.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_413.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_413.jpg","0","0","0","7.90E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_513.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_513.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_513.jpg","0","0","0","7.83E-5"
"C:\Users\Praos\Desktop\Data_training\IMG\center_2019_06_02_17_33_12_614.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\left_2019_06_02_17_33_12_614.jpg"," C:\Users\Praos\Desktop\Data_training\IMG\right_2019_06_02_17_33_12_614.jpg","0","0.2107522","0","0.08677197"
